"","theta","(Intercept)","log_umi"
"RP1-159A19.4",0.149790658934605,-20.6422519618804,4.34515928589818
"AHDC1",0.431840429050746,-6.51041054419792,0.534598177120762
"FGR",0.580875259879016,-14.1648570892312,3.85527759022332
"IFI6",0.568954504857022,-9.96439040137227,2.921573781341
"FAM76A",0.12934372533211,-9.18798288245274,1.44154295144078
"STX12",1.54201040680081,-8.91898537092292,1.85797660587751
"PPP1R8",0.269505132860284,-8.209075183124,1.63927472073521
"THEMIS2",0.717055394572276,-14.1531517300029,3.60430852074971
"RPA2",1.27770555478454,-7.07879797738275,1.64571113748518
"XKR8",0.578496647061678,-9.25007490441824,1.69638794147125
"EYA3",0.518623996521634,-7.51823730527673,0.901058888053794
"PTAFR",0.0680136241291603,-15.3058956786217,3.55367565771419
"DNAJC8",1.0930463204913,-12.5264104093256,3.32358430302932
"AL353354.2",0.144461744864221,-10.260241824088,1.32218218325773
"ATPIF1",1.75890684675318,-8.65952721827087,2.30130097635036
"RP5-1092A3.4",0.286142841212231,-2.37087853370404,-0.830730649402197
"SESN2",0.418084696572952,-12.6524279952801,2.36162474076588
"MED18",0.133564283045604,-17.95937772924,3.82326506227481
"PHACTR4",0.0391596314768743,-12.7219286325276,2.96755473064949
"RCC1",0.347485412711736,-14.7527723045334,3.22392559381387
"TRNAU1AP",1.66226616954157,-9.41841653464855,1.93051846374663
"SNHG12",0.230998952904555,-8.08328873328556,1.56598860165348
"TAF12",0.389732252502867,-10.1011218295524,2.49047439476234
"RP11-442N24__B.1",0.114986297334934,-20.7767109931611,4.24908830478541
"GMEB1",0.237735282484761,-11.8045569517076,2.49474972592929
"YTHDF2",0.395650755893499,-8.60747480446219,2.00344403670176
"EPB41",1.91037612741618,-8.0640310694267,1.58826670130208
"SRSF4",2.22647668087484,-11.1175418480958,2.73542288797277
"MECR",0.576535395790592,-13.4677759795097,2.81920403492888
"MATN1-AS1",0.173857543204452,-5.85171514977247,0.394479003780317
"LAPTM5",2.93039818160272,-6.47948999194424,2.12781870051429
"PUM1",0.0809721888250888,-14.4554316197037,3.34352187683105
"SNRNP40",3.67748414122432,-11.6559866236984,2.84130025054964
"ZCCHC17",0.890548939804844,-9.1794201312615,1.98609346347255
"SERINC2",0.0946206144970056,-16.3261344856711,3.35153047168456
"PEF1",2.29487024642488,-8.95766407833051,2.00183721966264
"PTP4A2",1.31888804316088,-11.5321512303094,3.06882699126073
"KHDRBS1",1.28711713463431,-10.2033636705459,2.67373262806927
"TMEM39B",0.423687679857696,-16.404455994051,3.80352032976018
"KPNA6",0.581143151343786,-10.7909138600787,2.27338560571473
"TXLNA",0.324289817533107,-11.1995728338395,2.05056041791136
"CCDC28B",0.438741718797141,-12.0999025008926,2.67746437434381
"TMEM234",0.090328389041714,-4.90818889842051,0.314465936312176
"EIF3I",1.94654641475489,-9.9308277898047,2.68567774562698
"LCK",1.23009064704447,-4.78320538349675,1.24379470804116
"HDAC1",0.329735102709099,-9.00756942959384,2.21694151188539
"MARCKSL1",0.49506102464135,-9.38784659122379,2.38016286926827
"FAM229A",0.244622111717539,-9.15590252353712,1.16087602883415
"BSDC1",0.204437438340054,-10.3523378755224,2.36118178062925
"ZBTB8OS",0.363207796034776,-10.3598972086444,2.35745622832849
"RBBP4",1.44702382701744,-9.41287870787832,2.17105974488776
"SYNC",0.630492710263051,-10.9127503100362,1.94994689159084
"YARS",0.959375395448008,-9.97561340872573,2.0860772326093
