"","theta","(Intercept)","log_umi"
"ZNF683",0.280783082914445,-11.5989968295362,2.19381227896606
"DHDDS",0.327625183902159,-11.4562335460741,2.20588919150169
"HMGN2",0.602571843244445,-10.0407878078459,2.31617249182789
"RPS6KA1",0.578082605673987,-10.1788197128099,2.31859454998965
"ARID1A",0.467925749533393,-10.4964873933919,2.32884166055348
"PIGV",0.331993336798167,-11.4433784366681,2.20680003370262
"ZDHHC18",0.291868987972595,-11.5652337563203,2.1973099932792
"GPN2",0.447173934745778,-11.054492823434,2.25338482150854
"GPATCH3",0.33101305530525,-11.4462830540508,2.20660583562448
"NUDC",0.984718064409573,-9.6918238522407,2.47796684580593
"C1orf172",0.158147028664132,-12.743367074885,2.06256469798137
"SLC9A1",0.248182685417313,-11.6927940738112,2.17580024179626
"WDTC1",0.426648790755395,-11.0743124101106,2.2158198817865
"TMEM222",0.45622299897587,-10.5057232518658,2.31812287147243
"SYTL1",0.838812790782604,-9.84880272910707,2.44331119774417
"MAP3K6",0.294380013409298,-11.5573781680938,2.19798584160143
"WASF2",0.927152798147546,-9.80046612749903,2.47278279386033
"RP1-159A19.4",0.141473787659634,-12.8191386499719,2.05126746596957
"AHDC1",0.224820970152689,-12.0670005958397,2.17690569188224
"FGR",1.05647909418645,-9.53227035882042,2.47274790627765
"IFI6",1.46516643450256,-9.0902709554486,2.61887160578995
"FAM76A",0.244209188857659,-11.708319725892,2.17326045705364
"STX12",0.466751167032312,-10.4976278076956,2.32800459318619
"PPP1R8",0.446344348083279,-10.5136994485844,2.30268992150103
"THEMIS2",0.689123015498697,-10.0108337721,2.39021487898404
"RPA2",0.878500646150994,-9.82761875591899,2.45549368759386
"XKR8",0.434022124776444,-11.0645865667127,2.22846712573506
"EYA3",0.229216757627761,-11.8185740413693,2.16758308707388
"PTAFR",0.451021307350471,-11.0477290442405,2.2591507212246
"DNAJC8",0.996856479678708,-9.66058009735716,2.47627098829514
"AL353354.2",0.141473787659634,-12.8191386499719,2.05126746596957
"ATPIF1",1.1079728664963,-9.55856358833542,2.5671835163015
"RP5-1092A3.4",0.250066880072025,-12.508963921607,2.17627790166079
"SESN2",0.223695027974275,-12.0241158264402,2.17597860349096
"MED18",0.250273336557541,-12.2871527362687,2.16237099282398
"PHACTR4",0.466715448051895,-10.8017365854566,2.27209864447271
"RCC1",0.373867454117424,-11.2963183263534,2.20693923232776
"TRNAU1AP",0.442443147486718,-10.5836470372026,2.27895061866087
"SNHG12",0.441411760793503,-10.5621326626203,2.28148080450914
"TAF12",0.746203423721263,-9.97269355776304,2.42159289031533
"RP11-442N24__B.1",0.090721269291354,-12.7921404110945,1.91917469956789
"GMEB1",0.451864202715022,-11.0458244782134,2.26026986317438
"YTHDF2",0.694338634117143,-10.0106600619391,2.39358011215625
"EPB41",0.453734752915787,-10.5072829460428,2.31499223782484
"SRSF4",0.725450098317507,-9.99741455255211,2.41192092179637
"MECR",0.350243796832789,-11.386611316548,2.2091560063327
"MATN1-AS1",0.226183628844696,-11.8696976462039,2.16872789246404
"LAPTM5",1.90839604468564,-7.53391590175495,2.45228442120972
"PUM1",0.465674810917849,-10.9822764140951,2.27150941211475
"SNRNP40",0.661121138723841,-10.00571167617,2.37045753865546
"ZCCHC17",0.529572654577525,-10.3674110533092,2.33594365373942
"SERINC2",0.250273336557541,-12.2871527362687,2.16237099282398
"PEF1",0.609265229628245,-10.0154849234318,2.32157821129345
"PTP4A2",1.06510684769141,-9.51902815682063,2.47417016993772
"KHDRBS1",1.05689052632346,-9.53160352048456,2.47279856906182
"TMEM39B",0.441397319814906,-11.0600511153751,2.24299411454642
"KPNA6",0.466279723342488,-10.797270725487,2.27215518859085
"TXLNA",0.256458208315558,-11.6666219050736,2.18126431842578
"CCDC28B",0.46010852688435,-10.7445268030991,2.27313212749742
"TMEM234",0.352503218725648,-11.3789580565459,2.20921908789345
