"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"RCC2",0.460706819342976,-10.8110148907693,-11.1027992915606,2.21525199593004,2.27473830646897
"ARHGEF10L",0.240979602450388,-11.5645302205551,-11.7781714742467,2.11853605271832,2.13315231027982
"IFFO2",0.193536910419406,-12.7229509827603,-12.1068247246849,2.20280914120116,2.12504097367742
"UBR4",0.461314429775099,-10.5923514502836,-10.6000102575084,2.23000252775719,2.32380195540696
"RP1-43E13.2",0.184759325248821,-12.9807844892051,-12.1458935853537,2.23242604348101,2.05347635452172
"EMC1",0.238807825156435,-12.2272241961111,-11.4287633265549,2.13379043070395,2.14928668534956
"MRTO4",0.462233272582938,-10.4439019763014,-10.8364408786849,2.24924257804502,2.31437045070754
"AKR7A2",0.727027939666242,-9.83711113291568,-10.0702017867303,2.36533613036962,2.40948756193473
"PQLC2",0.218073193864003,-11.5807819102115,-12.1120008116789,2.07219043993715,2.09432734447578
"CAPZB",1.63960343236498,-8.67626744122724,-8.9243868618777,2.55186360868761,2.64298649517377
"MINOS1",1.10170271909676,-9.43671755945005,-9.59077916696111,2.4629563053205,2.52626524247538
"NBL1",0.160024964708372,-13.0412186394904,-12.7048021381125,2.19756516700304,2.10185332445685
"TMCO4",0.244957733805843,-11.5684516927711,-11.7318934859605,2.12725989498536,2.13216826514374
"OTUD3",0.182645041051933,-12.9807844892051,-12.2134499787719,2.23242604348101,2.05080575518804
"MUL1",0.42921492868315,-10.967630365347,-11.2287391073738,2.18660518420228,2.22856829303011
"CDA",0.875994478132984,-9.61261385707052,-10.0140365452165,2.40074884499096,2.47677522643086
"PINK1",0.420708974575942,-11.3060142577673,-11.1541305556239,2.20250900100635,2.2501918441565
"PINK1-AS",0.214594727832573,-11.8610243825902,-12.0576635745586,2.0853567895114,2.14006767013108
"DDOST",0.921267122534507,-9.57525691910967,-9.96383659074441,2.41021912035789,2.49008371647791
"HP1BP3",0.679082987085614,-9.92419257811559,-10.0592707189758,2.34397371043668,2.38147560751315
"EIF4G3",0.225478490438372,-11.6329811063944,-11.9109799241815,2.06588328003641,2.13897810669448
"ECE1",0.469820868582246,-10.7932114916609,-11.0467834466184,2.21863215549325,2.30137833024227
"USP48",0.46174329105402,-10.4396414332215,-10.6720946391782,2.25023583907214,2.31462072612716
"LINC00339",0.29556102379824,-11.5684516927711,-11.3634321699471,2.12725989498536,2.16917112199178
"CDC42",1.26031808489433,-9.21825432267075,-9.50570378049836,2.53785679910087,2.60573234852027
"ZBTB40",0.311673282724815,-11.4108438838388,-11.5418790762414,2.20634398851131,2.13868298891723
"C1QA",0.39936036231899,-11.0473145930661,-11.3458352092283,2.18747414903945,2.17991885460452
"C1QB",0.260333709249433,-11.5628885548178,-11.7845163253973,2.1901080599713,2.13335053011854
"KDM1A",0.401600507928954,-11.1678396119121,-11.296056405529,2.19404186494873,2.20797630543902
"LUZP1",0.432137701186254,-10.8130502417273,-11.3634321699471,2.2148041924226,2.16917112199178
"HNRNPR",0.968519546853217,-9.52065348862116,-9.91693748109652,2.42420728381342,2.49802192493409
"TCEA3",0.474028482297925,-10.7475736068635,-10.8945214183277,2.22392994829137,2.31525101768547
"E2F2",0.226588395677694,-12.9807844892051,-11.4616168534817,2.23242604348101,2.14504042970337
"ID3",0.514624036013785,-10.2276250081215,-10.4906205633528,2.27307564190059,2.34181310325237
"MDS2",0.391149193984951,-11.4677281031307,-11.2205165227027,2.20591358895272,2.23068437061931
"RPL11",6.1038342095074,-4.29234067791085,-4.10568993791763,2.13402036231423,2.07534741944802
"TCEB3",0.441690680597083,-10.9318739568322,-11.1430788252902,2.18851056492723,2.25447596174205
"RP5-886K2.3",0.253901098511532,-11.5585501876496,-11.5418790762414,2.09784164060755,2.13868298891723
"PITHD1",0.738157213721488,-9.88164094014332,-10.0711315620385,2.35760220590192,2.44575870528983
"LYPLA2",0.582673790699462,-10.0970871241133,-10.2005632320738,2.27176467814792,2.33664453376713
"GALE",0.26403069601291,-11.5802188433725,-11.5882929144866,2.15809482101771,2.13583876778806
"HMGCL",0.461281252088875,-10.4600102862954,-10.7035375688061,2.24563070624486,2.31325074819524
"FUCA1",0.472266699734469,-10.7932114916609,-11.0073476723304,2.21863215549325,2.30984100640806
"CNR2",0.20624377800136,-11.726029841205,-12.1214379657602,2.0703634990053,2.06176427510643
"PNRC2",0.46128688384129,-10.4123865697425,-10.7776825226241,2.25658253239373,2.31317243187077
"SRSF10",0.464924415498719,-10.6105904052455,-10.7139240855671,2.22925832651299,2.31302304740642
"STPG1",0.232209936711751,-12.4556692543632,-11.4616168534817,2.16498697493235,2.14504042970337
"NIPAL3",0.469092498283601,-10.4123865697425,-10.5800619972237,2.25658253239373,2.32793746028277
"RCAN3",0.654414253007115,-9.89289607863699,-10.1551662510001,2.35494172699996,2.33687751717851
"RP4-594I10.3",0.20624377800136,-11.6329811063944,-12.2134499787719,2.06588328003641,2.05080575518804
"SRRM1",0.870294682998312,-9.65832365483667,-9.98101140683011,2.39083785605692,2.48607811681868
"CLIC4",0.289438759468774,-11.5620577283092,-11.4996137140559,2.1905334203729,2.14166731430314
"RUNX3",0.579606297921084,-10.0520308748869,-10.2784407171086,2.27332357613959,2.33906132988974
"SYF2",1.26759417514776,-9.24693534800647,-9.45376252129939,2.53850123706269,2.60361056640957
"C1orf63",0.895797026919232,-9.59428798477588,-9.99525772643233,2.40531693211516,2.4823246470969
"TMEM50A",1.10122027744259,-9.43344446485555,-9.59945651562051,2.47084212328461,2.51922430612637
"TMEM57",0.431402372088368,-10.8882670850155,-11.2799903491497,2.1947095488332,2.21393506460521
"LDLRAP1",0.716162345314198,-9.89170296613228,-10.0740968739157,2.35524069497581,2.42125334259553
"RP11-70P17.1",0.239853554323922,-11.5784433622738,-12.0840239812488,2.17558134463097,2.1358900411318
"MAN1C1",0.221128302595279,-12.2272241961111,-11.7023272750914,2.13379043070395,2.13206611735405
"RP1-187B23.1",0.221128302595279,-12.0306360069239,-11.7781714742467,2.10758923884792,2.13315231027982
"SEPN1",0.289438759468774,-11.5772761386386,-11.401720977381,2.14738396490195,2.15474758175821
"MTFR1L",0.462644614227482,-10.4693327366784,-10.8072927629751,2.24368395313577,2.31373632426635
"STMN1",0.581282123184429,-10.3177115037801,-10.0736071495648,2.27070832082829,2.34987318679537
"PAFAH2",0.242590445367145,-11.5772761386386,-11.8696704099259,2.14738396490195,2.13698823514882
"PDIK1L",0.256341133257868,-11.5693154683568,-11.5882929144866,2.1290830303399,2.13583876778806
"ZNF593",0.486924272745849,-10.220008871989,-10.6269996808264,2.27302402831309,2.31918701011188
"CEP85",0.201677448281737,-12.9807844892051,-11.8696704099259,2.23242604348101,2.13698823514882
"SH3BGRL3",2.59018538093869,-7.07937014974271,-6.96111356273087,2.46733475942771,2.43638760659108
