"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"CASP9",0.345026095174653,-9.92459337122765,-12.9356030457651,1.63253984432858,2.60898086050894
"DNAJC16",0.431766364164856,-14.6962893746248,-11.8176227955759,2.92200552169537,2.17010154781338
"AGMAT",0.250539626563888,-13.2245838097577,-12.6496479201198,2.75466668437079,2.46692821084454
"DDI2",0.0171735136446997,-14.3403384106149,-21.0889795786105,2.97752957585959,5.27094159780697
"PLEKHM2",0.747657651547258,-16.2203993170959,-16.9133695024142,3.52353490488842,3.78638644995095
"FBLIM1",0.438053980860894,-11.5812217464609,-11.7778288277807,2.10130288999596,2.06747100005111
"RP11-169K16.9",0.453173359552508,-11.4019352254639,-5.72939048807693,2.52446156622821,0.870817886431154
"SPEN",0.106158905807299,-13.2905320299789,-15.5084656859504,2.85783663776066,3.61539243455208
"ZBTB17",0.219999590656735,-12.2176480884745,-12.867416499916,2.49115562973533,2.56127929420821
"ARHGEF19",0.0451653866890467,-9.43108040408123,-9.66325199138632,1.34782733932486,1.21167162946523
"FBXO42",0.3239539022911,-15.542163721791,-16.3035299240217,3.53537444699844,3.68454862584315
"SZRD1",0.742028554348641,-11.7373288589603,-11.7924047268618,2.80093627847809,2.78899319658528
"NECAP2",1.41414353013951,-9.22997381354186,-8.0709510148409,2.29530769460778,1.92840517447077
"NBPF1",0.183894091095074,-17.3529233465835,-15.9755035506951,3.87978800061044,3.49110989762389
"CROCCP2",0.824500838472317,-9.51792687689957,-6.30540122257063,1.92122317232552,0.998557586555417
"CROCC",0.136091062529535,-14.334257895966,-8.75392517949827,2.8418307938215,1.22534826111949
"RP11-108M9.4",1.25181276594754,-10.7568776047304,-5.6094528275409,2.23534903555932,0.787471991142767
"RP11-108M9.6",0.137617334522453,-7.38834188596123,-7.19169087636771,0.819699920603808,0.761610021717128
"ATP13A2",1.00589374758083,-4.11987233028973,-14.4219989426221,0.0731825557816886,3.19220521185258
"SDHB",0.438858580060146,-12.0687497022682,-6.13465855396521,3.18357710324285,1.51419669558399
"PADI4",0.268927967628653,-10.0428502266901,-10.0351374510009,1.97203381588378,1.81925531187957
"RCC2",0.43357197065761,-15.9449215428845,-12.2539736072586,3.71790378674786,2.62530453221155
"ARHGEF10L",0.247973530351066,-16.7636102246566,-15.0554673343316,3.64854714197369,3.09411336713678
"IFFO2",0.30744926153406,-12.2901660001522,-9.803923357582,2.08567431118182,1.45828265646873
"UBR4",1.2421715953152,-5.74613268235691,-8.85234810931131,0.800658290103399,1.80866984781949
"RP1-43E13.2",0.109724837170301,-11.3653104404848,-24.5434652074261,1.7681618163854,5.63956119754475
"EMC1",0.366067212788691,-17.640765585378,-3.04586613196363,3.7182645193758,-0.335946286260078
"MRTO4",0.483309125288165,-24.3468955809281,-14.9443079084404,6.28907787712774,3.51056721728637
"AKR7A2",1.69321120007393,-12.9538756254138,-7.66338963805839,3.2730416032546,1.70459126095148
"PQLC2",0.401959562257499,-20.7831267332931,-11.509937282489,4.7478750422285,1.92987429485275
"CAPZB",2.14031659283785,-8.70666531410817,-8.50341190603389,2.55886539692182,2.53354848765849
"MINOS1",1.94618265317919,-12.4824578348541,-8.88503784231286,3.35417546656057,2.32562806467208
"NBL1",0.205802384154156,-23.1593189523867,-12.110243546124,5.13133614093043,1.93355344110121
"TMCO4",0.280846761149732,-14.6609116371725,-13.9008008378186,3.03848121407906,2.77863474703444
"OTUD3",0.216307213333092,-14.2575668891305,2.10766078174548,2.6170617606225,-2.24068821133455
"MUL1",1.11175721995937,-9.93954918180572,-9.79308875094092,1.88403632644438,1.8070799197542
